,latitude,longitude,start_count,station,end_count
540,40.7546011026,-73.971878855,3378.0,E 48 St & 3 Ave,3391
541,40.75466591,-73.99138152,9557.0,W 38 St & 8 Ave,9551
542,40.754691750226016,-73.9974018931389,2843.0,W 35 St & Dyer Ave,2809
543,40.754876,-73.934326,749.0,28 St & 38 Ave,757
544,40.75500254,-73.98014437,5244.0,W 44 St & 5 Ave,5406
545,40.75510267,-73.97498696,8893.0,E 47 St & Park Ave,8926
546,40.75513557,-73.98658032,9987.0,Broadway & W 41 St,9586
547,40.7552433,-73.94856779999999,554.0,Vernon Blvd & 41 Rd,567
548,40.7557327,-73.92366109999999,687.0,35 Ave & 37 St,694
549,40.75594159,-74.0021163,9853.0,W 34 St & 11 Ave,10031
550,40.75640548,-73.9900262,9746.0,W 41 St & 8 Ave,9749
551,40.75645824,-73.99372222,3.0,W 39 St & 9 Ave,3
552,40.75651272984955,-73.92957486212252,885.0,36 Ave & 31 St,850
553,40.75660359,-73.9979009,6053.0,W 37 St & 10 Ave,6041
554,40.7568001,-73.98291153,6184.0,W 45 St & 6 Ave,6157
555,40.756913,-73.921631,1579.0,34 Ave & 38 St,1542
556,40.756933200000006,-73.92622309999999,597.0,34 St & 35 Ave,598
557,40.75714758,-73.97207836,3202.0,E 51 St & Lexington Ave,3188
558,40.757186,-73.93271899999999,512.0,28 St & 36 Ave,519
559,40.75724567911726,-73.97805914282799,7123.0,E 48 St & 5 Ave,7206
560,40.75742,-73.945133,453.0,40 Ave & 9 St,454
561,40.75756989999999,-73.99098507,5343.0,W 42 St & 8 Ave,5341
562,40.7576314,-73.9391224,219.0,21 St & 38 Ave,216
563,40.75763227739443,-73.9693057537079,6693.0,E 53 St & 3 Ave,6690
564,40.7577284,-73.9166368,879.0,43 St & Broadway,888
565,40.75797322,-73.96603308,4469.0,E 55 St & 2 Ave,4474
566,40.7580583,-73.92427509999999,490.0,35 St & 34 Ave,490
567,40.75892386377695,-73.96226227283478,1479.0,E 58 St & 1 Ave (NE Corner),1424
568,40.75898481399634,-73.99379968643187,4760.0,W 42 St & Dyer Ave,4697
569,40.759107,-73.959223,1461.0,E 60 St & York Ave,1459
570,40.759125,-73.96265799999999,2821.0,E 58 St &  1 Ave (NW Corner),2697
571,40.75929124,-73.98859651,6035.0,W 45 St & 8 Ave,6014
572,40.75934501,-73.96759673,3086.0,E 56 St & 3 Ave,3099
573,40.7595701,-73.91426779999999,529.0,Newton Rd & 44 St,536
574,40.7596276,-73.93214549999999,429.0,Crescent St & 35 Ave,435
575,40.75971079999999,-73.97402311,3304.0,E 53 St & Madison Ave,3342
576,40.75992262,-73.97648516,5722.0,W 52 St & 5 Ave,5741
577,40.76009437,-73.99461843,5402.0,W 43 St & 10 Ave,5427
578,40.760185299999996,-73.9362726,259.0,21 St & 36 Ave,264
579,40.76019252,-73.9912551,7538.0,9 Ave & W 45 St,7653
580,40.76030096,-73.99884222,6868.0,11 Ave & W 41 St,6783
581,40.760339,-73.9222427,702.0,35 St & Broadway,694
582,40.76068327096592,-73.98452728986742,7876.0,Broadway & W 49 St,7775
583,40.76087502,-74.00277668,13159.0,12 Ave & W 40 St,13512
584,40.76095756,-73.96724467,5542.0,E 58 St & 3 Ave,5590
585,40.76108,-73.930562,570.0,Crescent St & 34 Ave,575
586,40.761227399999996,-73.96094022,5464.0,1 Ave & E 62 St,5492
587,40.76129389728909,-73.916916847229,935.0,31 Ave & Steinway St,944
588,40.76132983124814,-73.97982001304626,4644.0,W 52 St & 6 Ave,4932
589,40.7614376,-73.9411265,635.0,36 Ave & 10 St,643
590,40.761584,-73.925921,2070.0,31 St & Broadway,2016
591,40.76227205,-73.98788205,6516.0,W 49 St & 8 Ave,5998
592,40.76228826,-73.98336183,4253.0,Broadway & W 51 St,4141
593,40.76269882,-73.99301222,5322.0,W 47 St & 10 Ave,5281
594,40.76274420000001,-73.9391141,145.0,11 St & 35 Ave,155
595,40.762813799999996,-73.9342862,423.0,34 Ave & 21 St,408
596,40.763025942805186,-73.97209525108337,4131.0,E 58 St & Madison Ave,4226
597,40.76312584,-73.96526895,4008.0,3 Ave & E 62 St,3920
598,40.763154,-73.920827,1002.0,31 Ave & 34 St,1014
599,40.763154819103725,-73.93985509872438,529.0,35 Ave & 10 St,512
600,40.763189000000004,-73.978434,4328.0,W 55 St & 6 Ave,4299
601,40.7633589,-73.92864709999999,998.0,Crescent St & Broadway,1000
602,40.76341379,-73.99667444,5487.0,W 46 St & 11 Ave,5515
603,40.76344058,-73.98268129,4420.0,Broadway & W 53 St,4414
604,40.76350532,-73.97109243,3840.0,E 59 St & Madison Ave,3848
605,40.76360467795863,-73.98917958140373,3549.0,W 50 St & 9 Ave,3496
606,40.76370739,-73.9851615,6207.0,8 Ave & W 52 St,6180
607,40.763875299999995,-73.9364848,303.0,34 Ave & 13 St,295
608,40.76408932350689,-73.9106512069702,735.0,28 Ave & 44 St,741
609,40.764397100000004,-73.97371465,6796.0,Grand Army Plaza & Central Park S,6226
610,40.76440023,-73.96648977,341.0,Lexington Ave & E 63 St,352
